year,pb_Austria,pb_Germany,pb_Norway,pb_Portugal,pb_Switzerland,d_Austria,d_Germany,d_Norway,d_Portugal,d_Switzerland
1983.0,-1.3209817409515,0.061878204345703,9.0862891674042,0.083499431610107,0.55248129367828,43.41252221887,38.104848833883,27.409099578857,46.6937,40.162601470947
1984.0,0.5841691493988,0.9562304019928,10.009778738022,0.28658056259155,1.1264905929565,45.755236005192,38.799812341005,27.840999603271,51.2628,39.812000274658
1985.0,0.71528840065002,1.8130609989166,13.02462887764,-2.0288906097412,1.3369488716125,47.505679873353,39.373046920438,30.222200393677,59.3929,39.11840057373
1986.0,-0.31917095184326,1.6076593399048,9.8477611541748,0.39007902145386,2.3960802555084,51.665846588067,39.230406504582,37.761001586914,59.7698,37.564300537109
1987.0,-0.51799988746643,0.89236068725586,8.4880483150482,0.24042844772339,2.1747909784317,55.187111097027,40.255003675141,31.260499954224,57.2166,36.466400146484
1988.0,-0.1164288520813,0.69732975959778,6.1764795780182,2.6938505172729,1.7819900512695,57.364958604747,40.673404069559,30.513299942017,56.8103,34.961498260498
1989.0,0.23445296287537,2.7843601703644,5.4180006980896,2.8794617652893,1.4745596647263,56.331881742295,39.336959923262,30.429300308228,55.3556,32.519298553467
1990.0,0.8940806388855,0.75062727928162,5.7002999782562,1.8030524253845,1.2552396059036,55.93172813357,40.88555162052,28.944201045581,56.0191,33.331429938109
1991.0,0.69045901298523,-0.16940808296204,3.310359954834,1.1002502441406,-0.31765854358673,56.134185719071,38.984613444318,39.241697784732,58.5108,35.09240697397
1992.0,1.7320594787598,0.6715190410614,1.3650321960449,3.4657168388367,-1.3026778697968,56.027725476906,41.453709034934,44.995186458574,52.5534,39.487218133707
1993.0,-0.53177070617676,0.20042300224304,1.8561401367188,-0.29773950576782,-1.6177208423615,60.62884437996,45.095351506948,53.651698086688,57.3899,44.372402194336
1994.0,-1.2077598571777,0.88256692886353,3.321439743042,-1.0300703048706,-0.73633861541748,63.720815314914,47.536989970211,50.643379975819,60.2306,47.078918916649
1995.0,-1.8008594512939,-5.9832227230072,6.000349521637,0.55419969558716,0.1295690536499,67.864755938712,54.902433746259,32.737746057423,62.2148,50.007683453311
1996.0,-0.12984752655029,0.14079713821411,8.7494070529938,0.27982187271118,0.17868030071259,67.807224467078,57.79392936327,28.445878485559,63.3122,51.348203465106
1997.0,1.7941586971283,0.63944005966187,9.6942505836487,0.3561224937439,-0.81044125556946,63.055809601121,58.866583382199,25.756917307726,58.7155,53.680485209699
1998.0,1.2243587970734,1.0388815402985,5.363746881485,-0.39216041564941,0.072228789329529,68.818757238475,59.534704778547,23.573859891396,55.6157,55.950508728099
1999.0,1.0777204036713,1.5567815303802,7.7684197425842,0.1892991065979,1.5134679079056,61.103165749819,60.387379338474,24.959493518963,55.4056,52.70069383615
2000.0,1.7622928619385,4.3368980884552,16.890340805054,-0.013036727905273,1.9042581319809,65.737618348514,59.339857474076,28.667870007395,54.1931,52.240407084272
2001.0,3.3208525180817,0.015212059020996,15.146452665329,-1.4186584949493,1.5966817140579,66.354553905453,58.193036721994,27.233391778563,57.3802,51.089683719014
2002.0,2.418360710144,-0.88269209861755,11.020840406418,-0.16559958457947,0.49223136901855,66.977797458093,59.945771841392,33.944998705363,60.0437,57.708862938044
2003.0,1.4239420890808,-1.1337988376617,9.0993016958237,-0.4321084022522,-0.15690732002258,64.896276888242,63.538346061847,43.077617428548,63.8973,56.867484659206
2004.0,-1.6134307384491,-0.88483834266663,12.546169996262,-0.84378051757812,-0.2774703502655,64.848657902696,65.200882202146,43.829031895457,67.0995,57.819444135759
2005.0,1.1823213100433,-0.49009299278259,16.270717859268,-3.4334878921509,0.75493204593658,68.317516481354,67.546311470037,42.326585673382,72.2491,54.91263608758
2006.0,1.1925292015076,1.2056777477264,19.942138791084,-1.4010994434357,2.1962496042252,67.000706433021,66.887106512151,52.587025231114,73.6794,48.484896554678
2007.0,1.8800182342529,3.0491797924042,18.799780607224,-0.2096893787384,2.9205311536789,64.740497503328,64.158308495529,49.515078125596,72.728,44.770199724083
